Contry,Covid_Data
Afghanistan,"{'confired': 180741, 'deaths': 7709, 'recovered': 163215}"
Albania,"{'confired': 276518, 'deaths': 3497, 'recovered': 272736}"
Algeria,"{'confired': 265909, 'deaths': 6875, 'recovered': 178428}"
Andorra,"{'confired': 43224, 'deaths': 153, 'recovered': 42810}"
Angola,"{'confired': 99194, 'deaths': 1900, 'recovered': 97149}"
Anguilla,"{'confired': 3342, 'deaths': 9, 'recovered': 3311}"
Antigua and Barbuda,"{'confired': 8378, 'deaths': 138, 'recovered': 8019}"
Argentina,"{'confired': 9276618, 'deaths': 128973, 'recovered': 8895999}"
Armenia,"{'confired': 423006, 'deaths': 8629, 'recovered': 412661}"
Aruba,"{'confired': 37975, 'deaths': 216, 'recovered': 37058}"
Australia,"{'confired': 7508845, 'deaths': 8860, 'recovered': 7238735}"
Austria,"{'confired': 4274905, 'deaths': 18682, 'recovered': 4219119}"
Azerbaijan,"{'confired': 792785, 'deaths': 9713, 'recovered': 783019}"
Bahamas,"{'confired': 35132, 'deaths': 811, 'recovered': 33182}"
Bahrain,"{'confired': 590806, 'deaths': 1489, 'recovered': 583603}"
Bangladesh,"{'confired': 1953812, 'deaths': 29131, 'recovered': 1904771}"
Barbados,"{'confired': 81800, 'deaths': 466, 'recovered': 80046}"
Belarus,"{'confired': 982867, 'deaths': 6978, 'recovered': 'N/A'}"
Belgium,"{'confired': 4164698, 'deaths': 31799, 'recovered': 4070314}"
Belize,"{'confired': 60493, 'deaths': 678, 'recovered': 58195}"
Benin,"{'confired': 26952, 'deaths': 163, 'recovered': 25506}"
Bermuda,"{'confired': 15428, 'deaths': 138, 'recovered': 14901}"
Bhutan,"{'confired': 59636, 'deaths': 21, 'recovered': 59607}"
Bolivia,"{'confired': 910832, 'deaths': 21949, 'recovered': 873337}"
Bosnia and Herzegovina,"{'confired': 378054, 'deaths': 15791, 'recovered': 'N/A'}"
Botswana,"{'confired': 310431, 'deaths': 2701, 'recovered': 304887}"
Brazil,"{'confired': 31315777, 'deaths': 667701, 'recovered': 30155386}"
British Virgin Islands,"{'confired': 6765, 'deaths': 62, 'recovered': 'N/A'}"
Brunei ,"{'confired': 151560, 'deaths': 224, 'recovered': 148610}"
Bulgaria,"{'confired': 1166476, 'deaths': 37188, 'recovered': 1058990}"
Burkina Faso,"{'confired': 20853, 'deaths': 382, 'recovered': 20439}"
Burundi,"{'confired': 42248, 'deaths': 38, 'recovered': 'N/A'}"
CAR,"{'confired': 14649, 'deaths': 113, 'recovered': 6859}"
Cabo Verde,"{'confired': 56738, 'deaths': 402, 'recovered': 55983}"
Cambodia,"{'confired': 136262, 'deaths': 3056, 'recovered': 133206}"
Cameroon,"{'confired': 119947, 'deaths': 1930, 'recovered': 117791}"
Canada,"{'confired': 3888131, 'deaths': 41303, 'recovered': 3542275}"
Caribbean Netherlands,"{'confired': 10172, 'deaths': 35, 'recovered': 10106}"
Cayman Islands,"{'confired': 25318, 'deaths': 28, 'recovered': 8553}"
Chad,"{'confired': 7418, 'deaths': 193, 'recovered': 4874}"
Channel Islands,"{'confired': 76614, 'deaths': 176, 'recovered': 76052}"
Chile,"{'confired': 3771509, 'deaths': 58005, 'recovered': 3523377}"
Colombia,"{'confired': 6109105, 'deaths': 139867, 'recovered': 5938448}"
Comoros,"{'confired': 8100, 'deaths': 160, 'recovered': 7933}"
Congo,"{'confired': 24128, 'deaths': 385, 'recovered': 20178}"
Cook Islands,"{'confired': 5711, 'deaths': 1, 'recovered': 5683}"
Costa Rica,"{'confired': 904934, 'deaths': 8525, 'recovered': 860711}"
Croatia,"{'confired': 1138702, 'deaths': 16007, 'recovered': 1120813}"
Cuba,"{'confired': 1105517, 'deaths': 8529, 'recovered': 1096822}"
Curaçao,"{'confired': 44127, 'deaths': 277, 'recovered': 43567}"
Cyprus,"{'confired': 491777, 'deaths': 1067, 'recovered': 124370}"
Czechia,"{'confired': 3921844, 'deaths': 40295, 'recovered': 3880602}"
DPRK,"{'confired': 4253510, 'deaths': 71, 'recovered': 4150140}"
DRC,"{'confired': 89189, 'deaths': 1338, 'recovered': 50930}"
Denmark,"{'confired': 2988891, 'deaths': 6392, 'recovered': 2975701}"
Diamond Princess,"{'confired': 712, 'deaths': 13, 'recovered': 699}"
Djibouti,"{'confired': 15686, 'deaths': 189, 'recovered': 15427}"
Dominica,"{'confired': 14295, 'deaths': 67, 'recovered': 13897}"
Dominican Republic,"{'confired': 588978, 'deaths': 4380, 'recovered': 580764}"
Ecuador,"{'confired': 886223, 'deaths': 35649, 'recovered': 'N/A'}"
Egypt,"{'confired': 515645, 'deaths': 24613, 'recovered': 442182}"
El Salvador,"{'confired': 164134, 'deaths': 4134, 'recovered': 158594}"
Equatorial Guinea,"{'confired': 15931, 'deaths': 183, 'recovered': 15709}"
Eritrea,"{'confired': 9768, 'deaths': 103, 'recovered': 9660}"
Estonia,"{'confired': 577655, 'deaths': 2574, 'recovered': 520451}"
Eswatini,"{'confired': 72781, 'deaths': 1410, 'recovered': 71113}"
Ethiopia,"{'confired': 476398, 'deaths': 7516, 'recovered': 456414}"
Faeroe Islands,"{'confired': 34658, 'deaths': 28, 'recovered': 'N/A'}"
Falkland Islands,"{'confired': 1733, 'deaths': 'N/A', 'recovered': 'N/A'}"
Fiji,"{'confired': 65103, 'deaths': 864, 'recovered': 63195}"
Finland,"{'confired': 1105211, 'deaths': 4627, 'recovered': 'N/A'}"
France,"{'confired': 29713219, 'deaths': 148668, 'recovered': 29142555}"
French Guiana,"{'confired': 83671, 'deaths': 397, 'recovered': 11254}"
French Polynesia,"{'confired': 73062, 'deaths': 649, 'recovered': 'N/A'}"
Gabon,"{'confired': 47677, 'deaths': 304, 'recovered': 47312}"
Gambia,"{'confired': 12002, 'deaths': 365, 'recovered': 11591}"
Georgia,"{'confired': 1657729, 'deaths': 16826, 'recovered': 1637293}"
Germany,"{'confired': 26652380, 'deaths': 139948, 'recovered': 25759000}"
Ghana,"{'confired': 161841, 'deaths': 1445, 'recovered': 160000}"
Gibraltar,"{'confired': 18560, 'deaths': 102, 'recovered': 16579}"
Greece,"{'confired': 3483275, 'deaths': 29966, 'recovered': 3409822}"
Greenland,"{'confired': 11971, 'deaths': 21, 'recovered': 2761}"
Grenada,"{'confired': 17948, 'deaths': 231, 'recovered': 17456}"
Guadeloupe,"{'confired': 140130, 'deaths': 854, 'recovered': 2250}"
Guatemala,"{'confired': 867301, 'deaths': 18244, 'recovered': 843526}"
Guinea,"{'confired': 36597, 'deaths': 442, 'recovered': 36113}"
Guinea-Bissau,"{'confired': 8290, 'deaths': 171, 'recovered': 8055}"
Guyana,"{'confired': 65560, 'deaths': 1239, 'recovered': 63305}"
Haiti,"{'confired': 30963, 'deaths': 835, 'recovered': 29742}"
Honduras,"{'confired': 425471, 'deaths': 10900, 'recovered': 132430}"
Hong Kong,"{'confired': 1216228, 'deaths': 9389, 'recovered': 'N/A'}"
Hungary,"{'confired': 1921486, 'deaths': 46571, 'recovered': 1853094}"
Iceland,"{'confired': 189319, 'deaths': 153, 'recovered': 'N/A'}"
India,"{'confired': 43197336, 'deaths': 524715, 'recovered': 42636710}"
Indonesia,"{'confired': 6058180, 'deaths': 156628, 'recovered': 5897630}"
Iran,"{'confired': 7233117, 'deaths': 141342, 'recovered': 7057427}"
Iraq,"{'confired': 2329108, 'deaths': 25221, 'recovered': 2302735}"
Ireland,"{'confired': 1570519, 'deaths': 7383, 'recovered': 1544141}"
Isle of Man,"{'confired': 33098, 'deaths': 107, 'recovered': 26794}"
Israel,"{'confired': 4164482, 'deaths': 10867, 'recovered': 4132210}"
Italy,"{'confired': 17566061, 'deaths': 167169, 'recovered': 16769897}"
Ivory Coast,"{'confired': 82347, 'deaths': 799, 'recovered': 81484}"
Jamaica,"{'confired': 139456, 'deaths': 3079, 'recovered': 88080}"
Japan,"{'confired': 8972654, 'deaths': 30797, 'recovered': 8756848}"
Jordan,"{'confired': 1697271, 'deaths': 14068, 'recovered': 1682962}"
Kazakhstan,"{'confired': 1305815, 'deaths': 13662, 'recovered': 1292071}"
Kenya,"{'confired': 326015, 'deaths': 5651, 'recovered': 319117}"
Kiribati,"{'confired': 3183, 'deaths': 13, 'recovered': 2607}"
Kuwait,"{'confired': 634537, 'deaths': 2555, 'recovered': 630673}"
Kyrgyzstan,"{'confired': 200993, 'deaths': 2991, 'recovered': 196406}"
Laos,"{'confired': 210108, 'deaths': 756, 'recovered': 'N/A'}"
Latvia,"{'confired': 829851, 'deaths': 5836, 'recovered': 821620}"
Lebanon,"{'confired': 1100007, 'deaths': 10437, 'recovered': 1086833}"
Lesotho,"{'confired': 32910, 'deaths': 697, 'recovered': 24155}"
Liberia,"{'confired': 7456, 'deaths': 294, 'recovered': 5747}"
Libya,"{'confired': 502040, 'deaths': 6430, 'recovered': 490973}"
Liechtenstein,"{'confired': 17583, 'deaths': 84, 'recovered': 17416}"
Lithuania,"{'confired': 1063482, 'deaths': 9150, 'recovered': 1037052}"
Luxembourg,"{'confired': 249939, 'deaths': 1081, 'recovered': 235939}"
Macao,"{'confired': 83, 'deaths': 'N/A', 'recovered': 82}"
Madagascar,"{'confired': 64478, 'deaths': 1396, 'recovered': 59370}"
Malawi,"{'confired': 86043, 'deaths': 2642, 'recovered': 82924}"
Malaysia,"{'confired': 4518965, 'deaths': 35705, 'recovered': 4461671}"
Maldives,"{'confired': 179837, 'deaths': 299, 'recovered': 163687}"
Mali,"{'confired': 31118, 'deaths': 735, 'recovered': 30264}"
Malta,"{'confired': 95467, 'deaths': 723, 'recovered': 92961}"
Martinique,"{'confired': 182791, 'deaths': 943, 'recovered': 104}"
Mauritania,"{'confired': 59220, 'deaths': 982, 'recovered': 58107}"
Mauritius,"{'confired': 38060, 'deaths': 996, 'recovered': 36416}"
Mayotte,"{'confired': 37523, 'deaths': 187, 'recovered': 2964}"
Mexico,"{'confired': 5797427, 'deaths': 325042, 'recovered': 5077733}"
Micronesia,"{'confired': 34, 'deaths': 'N/A', 'recovered': 30}"
Moldova,"{'confired': 519001, 'deaths': 11544, 'recovered': 504142}"
Monaco,"{'confired': 12360, 'deaths': 57, 'recovered': 12203}"
Mongolia,"{'confired': 469885, 'deaths': 2179, 'recovered': 313256}"
Montenegro,"{'confired': 237688, 'deaths': 2720, 'recovered': 234498}"
Montserrat,"{'confired': 1003, 'deaths': 8, 'recovered': 942}"
Morocco,"{'confired': 1171972, 'deaths': 16082, 'recovered': 1152327}"
Mozambique,"{'confired': 226148, 'deaths': 2206, 'recovered': 223614}"
Myanmar,"{'confired': 613405, 'deaths': 19434, 'recovered': 592387}"
Namibia,"{'confired': 167565, 'deaths': 4040, 'recovered': 161397}"
Nepal,"{'confired': 979223, 'deaths': 11952, 'recovered': 967162}"
Netherlands,"{'confired': 8097174, 'deaths': 22327, 'recovered': 8039117}"
New Caledonia,"{'confired': 62487, 'deaths': 313, 'recovered': 61746}"
New Zealand,"{'confired': 1213546, 'deaths': 1216, 'recovered': 1169611}"
Nicaragua,"{'confired': 18491, 'deaths': 225, 'recovered': 4225}"
Niger,"{'confired': 9031, 'deaths': 310, 'recovered': 8628}"
Nigeria,"{'confired': 256227, 'deaths': 3143, 'recovered': 250113}"
North Macedonia,"{'confired': 312418, 'deaths': 9313, 'recovered': 302668}"
Norway,"{'confired': 1435512, 'deaths': 3210, 'recovered': 'N/A'}"
Oman,"{'confired': 389473, 'deaths': 4260, 'recovered': 384669}"
Pakistan,"{'confired': 1530876, 'deaths': 30379, 'recovered': 1496123}"
Palau,"{'confired': 5126, 'deaths': 6, 'recovered': 4392}"
Palestine,"{'confired': 582495, 'deaths': 5356, 'recovered': 576993}"
Panama,"{'confired': 882253, 'deaths': 8284, 'recovered': 846493}"
Papua New Guinea,"{'confired': 44639, 'deaths': 651, 'recovered': 43954}"
Paraguay,"{'confired': 651268, 'deaths': 18911, 'recovered': 624673}"
Peru,"{'confired': 3587142, 'deaths': 213289, 'recovered': 'N/A'}"
Philippines,"{'confired': 3692084, 'deaths': 60456, 'recovered': 3629188}"
Poland,"{'confired': 6009205, 'deaths': 116362, 'recovered': 5335526}"
Portugal,"{'confired': 4066674, 'deaths': 22583, 'recovered': 'N/A'}"
Qatar,"{'confired': 370924, 'deaths': 677, 'recovered': 368179}"
Romania,"{'confired': 2911536, 'deaths': 65700, 'recovered': 'N/A'}"
Russia,"{'confired': 18362105, 'deaths': 379736, 'recovered': 17777625}"
Rwanda,"{'confired': 130240, 'deaths': 1459, 'recovered': 45522}"
Réunion,"{'confired': 418585, 'deaths': 796, 'recovered': 415360}"
S. Korea,"{'confired': 18188200, 'deaths': 24305, 'recovered': 17914100}"
Saint Kitts and Nevis,"{'confired': 5821, 'deaths': 43, 'recovered': 5691}"
Saint Lucia,"{'confired': 26250, 'deaths': 371, 'recovered': 25382}"
Saint Martin,"{'confired': 10668, 'deaths': 63, 'recovered': 1399}"
Saint Pierre Miquelon,"{'confired': 2765, 'deaths': 1, 'recovered': 2449}"
Samoa,"{'confired': 13924, 'deaths': 27, 'recovered': 1605}"
San Marino,"{'confired': 17124, 'deaths': 115, 'recovered': 16910}"
Sao Tome and Principe,"{'confired': 6003, 'deaths': 73, 'recovered': 5918}"
Saudi Arabia,"{'confired': 774250, 'deaths': 9163, 'recovered': 756871}"
Senegal,"{'confired': 86142, 'deaths': 1967, 'recovered': 84164}"
Serbia,"{'confired': 2019429, 'deaths': 16096, 'recovered': 1998229}"
Seychelles,"{'confired': 44145, 'deaths': 167, 'recovered': 43698}"
Sierra Leone,"{'confired': 7683, 'deaths': 125, 'recovered': 'N/A'}"
Singapore,"{'confired': 1329225, 'deaths': 1394, 'recovered': 1247225}"
Sint Maarten,"{'confired': 10434, 'deaths': 86, 'recovered': 10292}"
Slovakia,"{'confired': 1790597, 'deaths': 20107, 'recovered': 1768760}"
Slovenia,"{'confired': 1027185, 'deaths': 6642, 'recovered': 1016577}"
Solomon Islands,"{'confired': 21237, 'deaths': 149, 'recovered': 16357}"
Somalia,"{'confired': 26565, 'deaths': 1350, 'recovered': 13182}"
South Africa,"{'confired': 3973086, 'deaths': 101424, 'recovered': 3846597}"
South Sudan,"{'confired': 17630, 'deaths': 138, 'recovered': 13644}"
Spain,"{'confired': 12436538, 'deaths': 106914, 'recovered': 11902145}"
Sri Lanka,"{'confired': 663901, 'deaths': 16518, 'recovered': 646972}"
St. Barth,"{'confired': 4630, 'deaths': 6, 'recovered': 'N/A'}"
St. Vincent Grenadines,"{'confired': 6923, 'deaths': 108, 'recovered': 6641}"
Sudan,"{'confired': 62444, 'deaths': 4950, 'recovered': 'N/A'}"
Suriname,"{'confired': 80673, 'deaths': 1352, 'recovered': 49526}"
Sweden,"{'confired': 2509366, 'deaths': 18981, 'recovered': 2484903}"
Switzerland,"{'confired': 3667742, 'deaths': 13967, 'recovered': 3615366}"
Syria,"{'confired': 55900, 'deaths': 3150, 'recovered': 52610}"
Taiwan,"{'confired': 2620941, 'deaths': 3373, 'recovered': 1067316}"
Tajikistan,"{'confired': 17388, 'deaths': 124, 'recovered': 17264}"
Tanzania,"{'confired': 35354, 'deaths': 840, 'recovered': 'N/A'}"
Thailand,"{'confired': 4473867, 'deaths': 30242, 'recovered': 4418202}"
Timor-Leste,"{'confired': 22928, 'deaths': 133, 'recovered': 22774}"
Togo,"{'confired': 37154, 'deaths': 273, 'recovered': 36832}"
Tonga,"{'confired': 11909, 'deaths': 12, 'recovered': 11517}"
Trinidad and Tobago,"{'confired': 163507, 'deaths': 3950, 'recovered': 151405}"
Tunisia,"{'confired': 1043540, 'deaths': 28648, 'recovered': 'N/A'}"
Turkey,"{'confired': 15072747, 'deaths': 98965, 'recovered': 14971256}"
Turks and Caicos,"{'confired': 6160, 'deaths': 36, 'recovered': 6086}"
UAE,"{'confired': 912953, 'deaths': 2305, 'recovered': 895736}"
UK,"{'confired': 22363067, 'deaths': 179083, 'recovered': 22007129}"
USA,"{'confired': 86986164, 'deaths': 1035019, 'recovered': 82823667}"
Uganda,"{'confired': 165803, 'deaths': 3600, 'recovered': 100381}"
Ukraine,"{'confired': 5014929, 'deaths': 108605, 'recovered': 'N/A'}"
Uruguay,"{'confired': 934961, 'deaths': 7262, 'recovered': 920062}"
Uzbekistan,"{'confired': 239141, 'deaths': 1637, 'recovered': 237349}"
Vanuatu,"{'confired': 10246, 'deaths': 14, 'recovered': 9516}"
Venezuela,"{'confired': 523969, 'deaths': 5722, 'recovered': 517246}"
Vietnam,"{'confired': 10727918, 'deaths': 43081, 'recovered': 9531653}"
Wallis and Futuna,"{'confired': 454, 'deaths': 7, 'recovered': 438}"
World,"{'confired': 537178828, 'deaths': 6325499, 'recovered': 508044745}"
Yemen,"{'confired': 11822, 'deaths': 2149, 'recovered': 9107}"
Zambia,"{'confired': 322790, 'deaths': 3988, 'recovered': 317705}"
Zimbabwe,"{'confired': 253779, 'deaths': 5515, 'recovered': 245809}"
